parent,classification,used_by_lhs,stages,source_v4_lines,notes
P_header_min,parameter,P_header_sp;P_header_ss,flotation,1537;1547,"Calibration, geometry, or tuning parameter; not generated by process equations."
P_header_nom,parameter,P_header_sp,flotation,1537,"Calibration, geometry, or tuning parameter; not generated by process equations."
P_header_prev,previous_state_reference,P_header,flotation,1548,Lagged state supplied by the simulator state store.
P_idle,equipment_or_control_state,P_mech_ss,tower_mill,1369,Equipment state or actuator signal generated by another execution block.
P_max,parameter,P_cyc,tower_mill,1316,"Calibration, geometry, or tuning parameter; not generated by process equations."
P_mech_prev,previous_state_reference,P_mech,tower_mill,1370,Lagged state supplied by the simulator state store.
P_media,equipment_or_control_state,P_mech_ss,tower_mill,1369,Equipment state or actuator signal generated by another execution block.
P_min,parameter,P_cyc,tower_mill,1316,"Calibration, geometry, or tuning parameter; not generated by process equations."
"P_pool_pump_{1,k}",equipment_or_control_state,sum_pool_power_s1,flotation,1666,Equipment state or actuator signal generated by another execution block.
"P_pool_pump_{2,k}",equipment_or_control_state,sum_pool_power_s2,flotation,1667,Equipment state or actuator signal generated by another execution block.
P_ref,known_global,alpha_ov;d50;f_oil_pump_sp,tower_mill,1328;1329;1385,Shared simulation constant or helper function.
P_sp,equipment_or_control_state,f_pump_sp,tower_mill,1313,Equipment state or actuator signal generated by another execution block.
Q_NT_in_water_s,stream_or_state_input,dV_NT_water_s/dt,flotation,1452,Upstream stream or dynamic state entering this formula from process topology.
Q_NT_over_water_s,stream_or_state_input,dV_NT_water_s/dt,flotation,1452,Upstream stream or dynamic state entering this formula from process topology.
Q_NT_under_s1,stream_or_state_input,Q_feed_s1_total,flotation,1625,Upstream stream or dynamic state entering this formula from process topology.
Q_NT_under_s2,stream_or_state_input,Q_feed_s2_total,flotation,1626,Upstream stream or dynamic state entering this formula from process topology.
Q_NT_under_water_s,stream_or_state_input,dV_NT_water_s/dt,flotation,1452,Upstream stream or dynamic state entering this formula from process topology.
Q_air_high_c,stream_or_state_input,"E_air_{s,c}",flotation,1595,Upstream stream or dynamic state entering this formula from process topology.
Q_air_low_c,stream_or_state_input,"E_air_{s,c}",flotation,1595,Upstream stream or dynamic state entering this formula from process topology.
Q_air_max_c,stream_or_state_input,"Q_air_sp_{s,c}",flotation,1535,Upstream stream or dynamic state entering this formula from process topology.
Q_air_min_c,stream_or_state_input,"Q_air_sp_{s,c}",flotation,1535,Upstream stream or dynamic state entering this formula from process topology.
Q_air_nom_c,stream_or_state_input,"Q_air_sp_{s,c}",flotation,1535,Upstream stream or dynamic state entering this formula from process topology.
Q_air_total_ref,parameter,P_header_sp,flotation,1537,"Calibration, geometry, or tuning parameter; not generated by process equations."
Q_air_total_s1,stream_or_state_input,blower_power_share1,flotation,1662,Upstream stream or dynamic state entering this formula from process topology.
Q_air_total_s2,stream_or_state_input,blower_power_share2,flotation,1663,Upstream stream or dynamic state entering this formula from process topology.
Q_blower_ref_b,stream_or_state_input,blower_speed_sp_b,flotation,1544,Upstream stream or dynamic state entering this formula from process topology.
Q_cleaner_tail_s,stream_or_state_input,"Q_in_pool_{s,1}",flotation,1634,Upstream stream or dynamic state entering this formula from process topology.
Q_feed,stream_or_state_input,I_ring_motor_phys;N_flush_open;capture_j;clog_buildup;dL_mag/dt;f_pul_sp;magnetic_difficulty;u_flush_sp,magnetic,1207;1224;1234;1242;1255;1256;1264;518,Upstream stream or dynamic state entering this formula from process topology.
Q_feed_water,stream_or_state_input,Q_conc_water,magnetic,1240,Upstream stream or dynamic state entering this formula from process topology.
Q_final_tail_s,stream_or_state_input,"Q_in_pool_{s,3}",flotation,1636,Upstream stream or dynamic state entering this formula from process topology.
Q_flush_prev,previous_state_reference,clog_wash,magnetic,1230,Lagged state supplied by the simulator state store.
Q_flush_ref,parameter,clog_wash,magnetic,1230,"Calibration, geometry, or tuning parameter; not generated by process equations."
Q_in,stream_or_state_input,dL_pool/dt;f_pump_sp,tower_mill,1311;1313,Upstream stream or dynamic state entering this formula from process topology.
"Q_in_cell_{s,c}",stream_or_state_input,"dL_cell_{s,c}/dt",flotation,1620,Upstream stream or dynamic state entering this formula from process topology.
"Q_in_pool_{s,k}",stream_or_state_input,"dL_pool_{s,k}/dt",flotation,1637,Upstream stream or dynamic state entering this formula from process topology.
"Q_out_cell_{s,cx1}",stream_or_state_input,"Q_in_cell_{s,cx2}",flotation,1575,Upstream stream or dynamic state entering this formula from process topology.
"Q_out_cell_{s,cx2}",stream_or_state_input,"Q_in_cell_{s,cx3}",flotation,1576,Upstream stream or dynamic state entering this formula from process topology.
"Q_pump_pool_{s,1}",stream_or_state_input,"feed_j_rate_{s,c}",flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_pump_pool_{s,2}",stream_or_state_input,"feed_j_rate_{s,c}",flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_pump_pool_{s,3}",stream_or_state_input,"feed_j_rate_{s,c}",flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
Q_pump_prev,previous_state_reference,tau_cyc_pool,tower_mill,1290,Lagged state supplied by the simulator state store.
Q_ref,known_global,I_ring_motor_phys;N_flush_open;capture_j;clog_buildup;f_pul_sp;magnetic_difficulty;u_flush_sp,magnetic,1207;1224;1234;1255;1256;1264;518,Shared simulation constant or helper function.
Q_refill_nom,parameter,Q_k6_refill_s,flotation,1513,"Calibration, geometry, or tuning parameter; not generated by process equations."
Q_return_sand,stream_or_state_input,dL_pool/dt,tower_mill,1311,Upstream stream or dynamic state entering this formula from process topology.
Q_rougher_froth_s,stream_or_state_input,"Q_in_cell_{s,jx}",flotation,1577,Upstream stream or dynamic state entering this formula from process topology.
Q_rougher_tail_s,stream_or_state_input,"Q_in_cell_{s,sx1}",flotation,1578,Upstream stream or dynamic state entering this formula from process topology.
Q_scav1_conc_s,stream_or_state_input,"Q_in_pool_{s,1}",flotation,1634,Upstream stream or dynamic state entering this formula from process topology.
Q_scav1_tail_s,stream_or_state_input,"Q_in_cell_{s,sx2}",flotation,1579,Upstream stream or dynamic state entering this formula from process topology.
Q_scav2_conc_s,stream_or_state_input,"Q_in_pool_{s,2}",flotation,1635,Upstream stream or dynamic state entering this formula from process topology.
Q_scav2_tail_s,stream_or_state_input,"Q_in_cell_{s,sx3}",flotation,1580,Upstream stream or dynamic state entering this formula from process topology.
Q_scav3_conc_s,stream_or_state_input,"Q_in_pool_{s,2}",flotation,1635,Upstream stream or dynamic state entering this formula from process topology.
Q_tm_overflow_delayed,previous_state_reference,Q_NT_in_s,flotation,1446,Lagged state supplied by the simulator state store.
Q_water,stream_or_state_input,dL_pool/dt,tower_mill,1311,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,cao}_ml_s",stream_or_state_input,dose_cao_kg_t_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,j}",stream_or_state_input,"reagent_heat_load_{s,k}",flotation,1650,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,k6_rough}_ml_s",stream_or_state_input,dose_DF_K6_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,naoh}_ml_s",stream_or_state_input,dose_naoh_kg_t_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,td_clean}_ml_s",stream_or_state_input,dose_TD_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"Q_{s,td_rough}_ml_s",stream_or_state_input,dose_TD_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
R0_coil,parameter,R_coil,magnetic,1217,"Calibration, geometry, or tuning parameter; not generated by process equations."
R_header0,parameter,header_resistance,flotation,1541,"Calibration, geometry, or tuning parameter; not generated by process equations."
Rmax_j,parameter,R_hm_j,magnetic,533,"Calibration, geometry, or tuning parameter; not generated by process equations."
Rmax_j_c,parameter,"R_j_{s,c}",flotation,1611,"Calibration, geometry, or tuning parameter; not generated by process equations."
TFe_1,known_global,TFe_mixed,boundary,395,Shared simulation constant or helper function.
TFe_2,known_global,TFe_mixed,boundary,395,Shared simulation constant or helper function.
TFe_3,known_global,TFe_mixed,boundary,395,Shared simulation constant or helper function.
T_amb,known_global,"T_NT_in_s;T_bearing1;T_bearing2;T_coil_ss;T_oil_ss;T_slurry_discharge_inst;T_slurry_i;T_slurry_overflow;T_slurry_sand;T_stator_A_ss;T_stator_B_ss;T_tank_ss_{s,k};T_under_s",boundary;flotation;magnetic;tower_mill,1221;1351;1353;1378;1391;1394;1395;1396;1397;1449;1458;1653;374,Shared simulation constant or helper function.
T_coil_prev,previous_state_reference,T_coil,magnetic,1222,Lagged state supplied by the simulator state store.
T_oil_prev,previous_state_reference,T_oil,tower_mill,1392,Lagged state supplied by the simulator state store.
T_oil_sp,stream_or_state_input,f_oil_pump_sp;u_oil_cooler_sp,tower_mill,1385;1388,Upstream stream or dynamic state entering this formula from process topology.
T_ore_feed,stream_or_state_input,T_slurry_i,boundary,374,Upstream stream or dynamic state entering this formula from process topology.
T_process_water,stream_or_state_input,T_slurry_i,boundary,374,Upstream stream or dynamic state entering this formula from process topology.
T_reagent_in_j,stream_or_state_input,"reagent_heat_load_{s,k}",flotation,1650,Upstream stream or dynamic state entering this formula from process topology.
T_ref,known_global,"R_coil;mu_slurry;reagent_viscosity_{s,j}",flotation;global;magnetic,1217;1647;207,Shared simulation constant or helper function.
T_slurry,stream_or_state_input,Stream;mu_slurry,global,159;207,Upstream stream or dynamic state entering this formula from process topology.
T_slurry_discharge_prev,previous_state_reference,T_slurry_discharge;T_slurry_feed_in,tower_mill,1296;1382,Lagged state supplied by the simulator state store.
T_slurry_feed_prev,previous_state_reference,T_slurry_feed,tower_mill,1306,Lagged state supplied by the simulator state store.
T_slurry_mag_conc,stream_or_state_input,T_slurry_feed_in,tower_mill,1296,Upstream stream or dynamic state entering this formula from process topology.
T_stator_A_prev,previous_state_reference,T_stator_A,tower_mill,1398,Lagged state supplied by the simulator state store.
T_stator_B_prev,previous_state_reference,T_stator_B,tower_mill,1399,Lagged state supplied by the simulator state store.
"T_tank_prev_{s,k}",stream_or_state_input,"T_tank_{s,k}",flotation,1654,Upstream stream or dynamic state entering this formula from process topology.
T_tank_sp_k,stream_or_state_input,"u_steam_sp_{s,k}",flotation,1648,Upstream stream or dynamic state entering this formula from process topology.
"T_tank_{s,tank_of(j)}",stream_or_state_input,"reagent_viscosity_{s,j}",flotation,1647,Upstream stream or dynamic state entering this formula from process topology.
T_tm_overflow_delayed,previous_state_reference,T_NT_in_s,flotation,1449,Lagged state supplied by the simulator state store.
V_NT_water_s,parameter,L_NT_s,flotation,1453,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_blower_b,parameter,I_blower_phys_b;P_blower_power_b,flotation,1552;1660,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_cell_motor,parameter,"P_cell_motor_{s,c}",flotation,1657,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_drug_pump,parameter,"P_drug_pump_{s,j}",flotation,1659,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_mixer_k,parameter,"mixer_power_{s,k}",flotation,1652,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_motor,parameter,I_tm_phys,tower_mill,1371,"Calibration, geometry, or tuning parameter; not generated by process equations."
V_pool_pump,parameter,"P_pool_pump_{s,k}",flotation,1658,"Calibration, geometry, or tuning parameter; not generated by process equations."
WI_1,stream_or_state_input,_x_d3_WI_mixed,boundary,385,Upstream stream or dynamic state entering this formula from process topology.
WI_2,stream_or_state_input,_x_d3_WI_mixed,boundary,385,Upstream stream or dynamic state entering this formula from process topology.
WI_3,stream_or_state_input,_x_d3_WI_mixed,boundary,385,Upstream stream or dynamic state entering this formula from process topology.
WI_discharge_prev,previous_state_reference,WI_feed_in,tower_mill,1295,Lagged state supplied by the simulator state store.
WI_feed_prev,previous_state_reference,WI_feed,tower_mill,1305,Lagged state supplied by the simulator state store.
WI_i,stream_or_state_input,Liberation_fe_i;Liberation_gangue_i;dWI_i,boundary;global,144;361;368,Upstream stream or dynamic state entering this formula from process topology.
WI_mag_conc,stream_or_state_input,WI_feed_in,tower_mill,1295,Upstream stream or dynamic state entering this formula from process topology.
WI_ref,known_global,Liberation_fe_i;Liberation_gangue_i;M_feed_sp;grind_difficulty,boundary;flotation;tower_mill,1363;1622;361;368,Shared simulation constant or helper function.
WI_target_i,stream_or_state_input,dWI_i,global,144,Upstream stream or dynamic state entering this formula from process topology.
_f200,known_global,lab_{i}_eryi_f200,boundary,433,Shared simulation constant or helper function.
_ml_s,known_global,"reagent_heat_load_{s,k}",flotation,1650,Shared simulation constant or helper function.
_prev,previous_state_reference,"f_{s,j}",flotation,1499,Lagged state supplied by the simulator state store.
_sp,known_global,"f_{s,j}",flotation,1499,Shared simulation constant or helper function.
_tfe,known_global,lab_{i}_eryi_tfe,boundary,432,Shared simulation constant or helper function.
_x_eryi_line,known_global,lab_{i}_eryi_f200;lab_{i}_eryi_tfe,boundary,432;433,Shared simulation constant or helper function.
_x_mag_mixed_conc_tfe,stream_or_state_input,lab_mag_mixed_conc_tfe,lab,manual,Upstream stream or dynamic state entering this formula from process topology.
_x_tm_overflow_tfe,stream_or_state_input,lab_tm_overflow_tfe,lab,manual,Upstream stream or dynamic state entering this formula from process topology.
a0_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
a1_c,parameter,"E_collector_{s,c}",flotation,1592,"Calibration, geometry, or tuning parameter; not generated by process equations."
a2_c,parameter,"E_collector_{s,c}",flotation,1592,"Calibration, geometry, or tuning parameter; not generated by process equations."
aB_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
aC,template_index,d50,tower_mill,1328,Short template index resolved during code generation.
aC_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
aL_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
aP,template_index,d50,tower_mill,1328,Short template index resolved during code generation.
aQ_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
aSize_j,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
a_carb_c,parameter,"k_float_carb_{s,c}",flotation,1604,"Calibration, geometry, or tuning parameter; not generated by process equations."
a_fan_b,parameter,P_blower_curve_b,flotation,1546,"Calibration, geometry, or tuning parameter; not generated by process equations."
a_freq_j,parameter,"f_{s,j}_sp",flotation,1498,"Calibration, geometry, or tuning parameter; not generated by process equations."
a_sil_c,parameter,"k_float_sil_{s,c}",flotation,1603,"Calibration, geometry, or tuning parameter; not generated by process equations."
abs,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
active_cao,parameter,dose_cao_kg_t_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
active_k6,parameter,dose_DF_K6_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
active_naoh,parameter,dose_naoh_kg_t_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
active_td,parameter,dose_TD_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
agg_tm_cyclone_feed_pressure_lag,previous_state_reference,quality_proxy_s,flotation,1471,Lagged state supplied by the simulator state store.
agg_tm_motor_current_lag,previous_state_reference,quality_proxy_s,flotation,1471,Lagged state supplied by the simulator state store.
air_filter_fouling_prev,previous_state_reference,air_filter_fouling,flotation,1540,Lagged state supplied by the simulator state store.
air_flow_lag,previous_state_reference,online_froth_proxy,dcs,1186,Lagged state supplied by the simulator state store.
alpha_Cu,parameter,R_coil,magnetic,1217,"Calibration, geometry, or tuning parameter; not generated by process equations."
amu,parameter,d50,tower_mill,1328,"Calibration, geometry, or tuning parameter; not generated by process equations."
availability_i,parameter,M_wet_i,boundary,316,"Calibration, geometry, or tuning parameter; not generated by process equations."
b0,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_C,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_carb,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_clay,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_fan_b,parameter,P_blower_curve_b,flotation,1546,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_flow,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_freq_j,parameter,"f_{s,j}_sp",flotation,1498,"Calibration, geometry, or tuning parameter; not generated by process equations."
b_sil,parameter,buffer_capacity;buffer_capacity_s,flotation;global,1519;238,"Calibration, geometry, or tuning parameter; not generated by process equations."
blower_capacity_b,parameter,blower_load_share_b,flotation,1542,"Calibration, geometry, or tuning parameter; not generated by process equations."
blower_on_b,parameter,blower_load_share_b,flotation,1542,"Calibration, geometry, or tuning parameter; not generated by process equations."
blower_speed_prev_b,parameter,blower_speed_b,flotation,1545,"Calibration, geometry, or tuning parameter; not generated by process equations."
c0,parameter,clog_buildup,magnetic,1224,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_C,parameter,clog_buildup,magnetic,1224,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_clay,parameter,clog_buildup,magnetic,1224,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_f25,parameter,clog_buildup,magnetic,1224,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_flush_Q,parameter,clog_wash,magnetic,1230,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_load,parameter,clog_buildup,magnetic,1224,"Calibration, geometry, or tuning parameter; not generated by process equations."
c_pul_clog,parameter,clog_wash,magnetic,1230,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay,parameter,Entr;Stream;buffer_capacity;clog_buildup;f_pul_sp;floatability_difficulty;mu_feed;mu_slurry,flotation;global;magnetic;tower_mill,1224;1234;1309;1478;159;207;238;524,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_1,parameter,_x_clay_mixed,boundary,388,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_2,parameter,_x_clay_mixed,boundary,388,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_3,parameter,_x_clay_mixed,boundary,388,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_i,parameter,C_i;Liberation_fe_i;TFe_i;dclay_i,boundary;global,145;317;320;361,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_s,parameter,"buffer_capacity_s;entrainment_factor_{s,c};floatability_difficulty_s;froth_stability_{s,c};mu_under_s",flotation,1459;1519;1566;1600;manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
clay_target_i,parameter,dclay_i,global,145,"Calibration, geometry, or tuning parameter; not generated by process equations."
cleaning_rate_filter,parameter,d(air_filter_fouling)/dt,flotation,1539,"Calibration, geometry, or tuning parameter; not generated by process equations."
cooling_water_pressure,known_global,oil_cooling_flow,tower_mill,1390,Shared simulation constant or helper function.
cyclone_pressure_lag,previous_state_reference,online_load_proxy,dcs,1185,Lagged state supplied by the simulator state store.
d,template_index,air_filter_fouling,flotation,1540,Short template index resolved during code generation.
d0_cao,parameter,dose_need_cao_s,flotation,1522,"Calibration, geometry, or tuning parameter; not generated by process equations."
d0_k6,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
d0_naoh,parameter,dose_need_naoh_s,flotation,1521,"Calibration, geometry, or tuning parameter; not generated by process equations."
d0_td_c,parameter,dose_need_TD_clean_s,flotation,1492,"Calibration, geometry, or tuning parameter; not generated by process equations."
d0_td_r,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
d50_ref,parameter,d50,tower_mill,1328,"Calibration, geometry, or tuning parameter; not generated by process equations."
d80,parameter,Stream,global,159,"Calibration, geometry, or tuning parameter; not generated by process equations."
d80_i,parameter,F325_i;f25_i,boundary,333;334,"Calibration, geometry, or tuning parameter; not generated by process equations."
"dM_cell_j_{s,c}",parameter,"M_cell_j_{s,c}",flotation,1615,"Calibration, geometry, or tuning parameter; not generated by process equations."
dW_WI_i,parameter,dWI_i,global,144,"Calibration, geometry, or tuning parameter; not generated by process equations."
dW_carb_i,parameter,dr_carb_i,global,146,"Calibration, geometry, or tuning parameter; not generated by process equations."
dW_clay_i,parameter,dclay_i,global,145,"Calibration, geometry, or tuning parameter; not generated by process equations."
delta_fault,parameter,T_bearing1;T_bearing2,tower_mill,1394;1395,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_DF_K6,parameter,hydrophobic_potential,global,250,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_DF_K6_effective_prev_s,parameter,dose_DF_K6_effective_s,flotation,1504,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_K6_ref_c,parameter,"E_depressant_{s,c}",flotation,1593,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_TD_effective_prev_s,parameter,dose_TD_effective_s,flotation,1503,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_high_c,parameter,"E_collector_{s,c}",flotation,1592,"Calibration, geometry, or tuning parameter; not generated by process equations."
dose_low_c,parameter,"E_collector_{s,c}",flotation,1592,"Calibration, geometry, or tuning parameter; not generated by process equations."
"dose_need_{s,j}",parameter,"f_{s,j}_sp",flotation,1498,"Calibration, geometry, or tuning parameter; not generated by process equations."
e,template_index,F325_i;f25_i,boundary,333;334,Short template index resolved during code generation.
e0,parameter,Entr,magnetic,524,"Calibration, geometry, or tuning parameter; not generated by process equations."
e0_c,parameter,"entrainment_factor_{s,c}",flotation,1600,"Calibration, geometry, or tuning parameter; not generated by process equations."
e6,parameter,"DeltaP_blower_Pa_b;P_cell_{s,c}",flotation,1550;1554,"Calibration, geometry, or tuning parameter; not generated by process equations."
eC,template_index,Entr,magnetic,524,Short template index resolved during code generation.
eL,template_index,Entr,magnetic,524,Short template index resolved during code generation.
e_C_c,parameter,"entrainment_factor_{s,c}",flotation,1600,"Calibration, geometry, or tuning parameter; not generated by process equations."
e_clay_c,parameter,"entrainment_factor_{s,c}",flotation,1600,"Calibration, geometry, or tuning parameter; not generated by process equations."
e_f25_c,parameter,"entrainment_factor_{s,c}",flotation,1600,"Calibration, geometry, or tuning parameter; not generated by process equations."
e_max,parameter,Entr,magnetic,524,"Calibration, geometry, or tuning parameter; not generated by process equations."
e_mu_c,parameter,"entrainment_factor_{s,c}",flotation,1600,"Calibration, geometry, or tuning parameter; not generated by process equations."
e_pul,parameter,Entr,magnetic,524,"Calibration, geometry, or tuning parameter; not generated by process equations."
eclay,parameter,Entr,magnetic,524,"Calibration, geometry, or tuning parameter; not generated by process equations."
ef25,parameter,Entr,magnetic,524,"Calibration, geometry, or tuning parameter; not generated by process equations."
entr_share_j,parameter,conc_j,magnetic,534,"Calibration, geometry, or tuning parameter; not generated by process equations."
entr_share_j_c,parameter,"entrainment_j_rate_{s,c}",flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
error,parameter,u_sp,global,282,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta,parameter,I_tm_phys,tower_mill,1371,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_blower_motor_b,parameter,I_blower_phys_b,flotation,1552,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_cell,parameter,"P_cell_motor_{s,c}",flotation,1657,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_drug,parameter,"P_drug_pump_{s,j}",flotation,1659,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_fan_b,parameter,P_blower_shaft_kW_b,flotation,1551,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_mixer_k,parameter,"mixer_power_{s,k}",flotation,1652,"Calibration, geometry, or tuning parameter; not generated by process equations."
eta_pool,parameter,"P_pool_pump_{s,k}",flotation,1658,"Calibration, geometry, or tuning parameter; not generated by process equations."
event_bd_timer,parameter,u_blowdown_phys,magnetic,1254,"Calibration, geometry, or tuning parameter; not generated by process equations."
event_bearing1_fault,parameter,T_bearing1,tower_mill,1394,"Calibration, geometry, or tuning parameter; not generated by process equations."
event_bearing2_fault,parameter,T_bearing2,tower_mill,1395,"Calibration, geometry, or tuning parameter; not generated by process equations."
event_filter_clean,parameter,d(air_filter_fouling)/dt,flotation,1539,"Calibration, geometry, or tuning parameter; not generated by process equations."
"event_froth_fault_{s,c}",parameter,fx_s{s}_{c}_froth_h,dcs,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
f0,parameter,f_pump_sp,tower_mill,1313,"Calibration, geometry, or tuning parameter; not generated by process equations."
f25,ore_or_process_state,Entr;F325_discharge_inst;Stream;clog_buildup;f_pul_sp;floatability_difficulty;hydrophobic_potential;mu_feed;mu_slurry,flotation;global;magnetic;tower_mill,1224;1234;1309;1374;1478;159;207;250;524,Ore property or process state carried by streams or generated at boundary.
f25_s,ore_or_process_state,"dose_need_DF_K6_s;entrainment_factor_{s,c};floatability_difficulty_s;froth_stability_{s,c};mu_under_s;selectivity_proxy_s",flotation,1459;1493;1566;1600;manual,Ore property or process state carried by streams or generated at boundary.
f_k6_rough_s,equipment_or_control_state,Q_k6_consumption_s,flotation,1511,Equipment state or actuator signal generated by another execution block.
f_max,parameter,f_pump_sp,tower_mill,1313,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_max_j,equipment_or_control_state,"f_{s,j}_sp",flotation,1498,Equipment state or actuator signal generated by another execution block.
f_min,parameter,f_pump_sp,tower_mill,1313,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_min_j,equipment_or_control_state,"f_{s,j}_sp",flotation,1498,Equipment state or actuator signal generated by another execution block.
f_oil_max,parameter,f_oil_pump_sp,tower_mill,1385,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_oil_min,parameter,f_oil_pump_sp,tower_mill,1385,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_oil_nom,parameter,f_oil_pump_sp,tower_mill,1385,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_oil_pump_prev,previous_state_reference,f_oil_pump,tower_mill,1386,Lagged state supplied by the simulator state store.
f_ov_max,parameter,f_ov_pump_sp,tower_mill,1402,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ov_min,parameter,f_ov_pump_sp,tower_mill,1402,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_ov_nom,parameter,f_ov_pump_sp,tower_mill,1402,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_pool_max_k,equipment_or_control_state,"f_pool_sp_{s,k}",flotation,1638,Equipment state or actuator signal generated by another execution block.
f_pool_min_k,equipment_or_control_state,"f_pool_sp_{s,k}",flotation,1638,Equipment state or actuator signal generated by another execution block.
f_pool_nom_k,equipment_or_control_state,"f_pool_sp_{s,k}",flotation,1638,Equipment state or actuator signal generated by another execution block.
"f_pool_prev_{s,k}",equipment_or_control_state,"f_pool_{s,k}",flotation,1639,Equipment state or actuator signal generated by another execution block.
f_pul_max,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_pul_min,parameter,Entr;f_pul_sp,magnetic,1234;524,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_pul_nom,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_pul_opt,parameter,E_pulse,magnetic,521,"Calibration, geometry, or tuning parameter; not generated by process equations."
f_pul_prev,previous_state_reference,clog_wash;f_pul,magnetic,1230;1236,Lagged state supplied by the simulator state store.
f_pul_ref,parameter,Entr;clog_wash,magnetic,1230;524,"Calibration, geometry, or tuning parameter; not generated by process equations."
